Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
206	-0.00766503	-0.00827175	0.01127716	0.82345014
207	-0.00193751	0.00207311	0.00283756	-0.81919660
208	0.00825994	-0.00013651	0.00826107	-0.01652581
209	-0.00157260	-0.00694855	0.00712429	1.34822531
210	-0.00354226	-0.00230104	0.00422403	0.57609260
211	-0.00345531	0.01473733	0.01513698	-1.34049657
212	-0.00343911	0.00462862	0.00576642	-0.93178323
213	0.00098041	0.00394827	0.00406817	1.32740523
214	0.00043839	0.01509275	0.01509912	1.54175826
215	-0.01297417	0.00577931	0.01420315	-0.41906194
216	-0.01824637	0.00687586	0.01949891	-0.36037783
217	-0.03313406	-0.00088318	0.03314583	0.02664837
218	-0.05316897	-0.11607155	0.12766967	1.14125114
219	0.07467934	0.06084476	0.09632803	0.68366851
220	-0.00981589	0.01599649	0.01876805	-1.02041656
221	0.01040754	0.01760334	0.02044980	1.03685374
222	0.01244371	-0.00256217	0.01270475	-0.20306253
223	0.00607382	-0.00765335	0.00977062	-0.89996026
224	-0.00476528	-0.01038057	0.01142209	1.14043546
225	0.00403172	-0.00764208	0.00864038	-1.08533824
226	0.00201254	-0.01118408	0.01136371	-1.39275463
227	0.00100437	-0.00725111	0.00732034	-1.43315881
228	-0.00157645	-0.00187461	0.00244935	0.87158066
229	-0.00113110	-0.00321334	0.00340660	1.23234032
230	-0.00697353	0.00329457	0.00771261	-0.44135663
231	-0.00603927	0.00473552	0.00767450	-0.66498412
232	-0.00348788	-0.00081931	0.00358282	0.23071981
233	-0.00854876	-0.00085494	0.00859140	0.09967573
234	-0.00903867	0.00890981	0.01269182	-0.77821903
235	-0.00162244	0.00552210	0.00575551	-1.28502975
236	0.00229954	-0.00796814	0.00829332	-1.28983902
237	-0.00310475	-0.00651959	0.00722112	1.12635376
238	0.00222462	0.00195833	0.00296378	0.72182269
239	0.01024008	0.00045541	0.01025020	0.04444402
240	0.00963144	-0.00529231	0.01098968	-0.50244582
241	0.00615383	-0.00404330	0.00736328	-0.58130727
242	0.00730202	-0.00103549	0.00737508	-0.14086927
243	0.00688112	-0.00167332	0.00708166	-0.23854592
244	0.00398936	0.00050643	0.00402138	0.12626979
245	0.00440764	-0.00172529	0.00473328	-0.37309841
246	0.00106274	-0.00383768	0.00398211	-1.30064473
247	-0.00584116	-0.00273684	0.00645054	0.43816752
248	-0.00372810	0.00144496	0.00399833	-0.36975925
249	0.00062010	-0.00201748	0.00211063	-1.27259900
250	-0.00532162	-0.00636861	0.00829933	0.87472099
251	-0.00849117	-0.00137297	0.00860145	0.16030656
252	-0.00170599	0.00224131	0.00281671	-0.92019317
253	0.00198944	-0.00389867	0.00437693	-1.09895306
254	-0.00301583	-0.00515521	0.00597255	1.04147364
255	-0.00324939	-0.00137251	0.00352737	0.39965677
256	0.00344383	-0.00012997	0.00344628	-0.03772233
257	0.00428246	-0.00113791	0.00443106	-0.25971177
258	0.00410944	-0.00029429	0.00411996	-0.07149019
259	0.00536564	-0.00117933	0.00549372	-0.21635255
260	0.00233344	-0.00127552	0.00265930	-0.50025044
261	-0.00084240	0.00249159	0.00263015	-1.24476328
262	0.00280570	0.00198841	0.00343886	0.61654473
263	0.00403938	-0.00358047	0.00539782	-0.72524558
264	-0.00434384	-0.00394774	0.00586972	0.73766337
265	-0.00581966	0.00234287	0.00627356	-0.38272687
266	-0.00061178	0.00224252	0.00232448	-1.30446730
267	-0.00024556	-0.00355682	0.00356529	1.50186675
268	-0.00690699	-0.00249597	0.00734414	0.34676632
269	-0.00588566	0.00215804	0.00626882	-0.35143929
270	-0.00098153	0.00178375	0.00203597	-1.06775123
271	0.00077592	-0.00216965	0.00230422	-1.22734483
272	0.00125199	-0.00416473	0.00434885	-1.27877298
273	0.00231878	-0.00339048	0.00410757	-0.97095167
274	0.00303875	0.00009454	0.00304022	0.03110065
275	0.00678108	0.00264744	0.00727956	0.37221741
276	0.00967551	-0.00039798	0.00968369	-0.04110988
277	0.00623320	-0.00314171	0.00698020	-0.46686473
278	0.00195843	-0.00095143	0.00217731	-0.45223423
279	0.00510701	-0.00047334	0.00512890	-0.09241953
280	0.00495339	-0.00510331	0.00711195	-0.80030453
281	-0.00035173	-0.00509369	0.00510582	1.50185392
282	-0.00280148	-0.00304957	0.00414103	0.82777368
283	-0.00152442	-0.00454470	0.00479355	1.24716277
284	-0.00418238	-0.00726723	0.00838480	1.04857742
285	-0.00591428	-0.00565760	0.00818457	0.76322063
286	-0.00278930	-0.00477617	0.00553100	1.04222105
287	-0.00266396	-0.00553993	0.00614715	1.12257257
288	-0.00316853	-0.00220466	0.00386006	0.60790095
289	0.00012194	0.00015714	0.00019890	0.91085845
290	0.00153551	-0.00211498	0.00261361	-0.94282213
291	-0.00118542	-0.00128584	0.00174888	0.82601243
292	0.00242890	0.00318291	0.00400381	0.91895956
293	0.00764696	-0.00067836	0.00767699	-0.08847846
294	0.00444714	-0.00581252	0.00731864	-0.91770305
295	0.00019592	-0.00002811	0.00019792	-0.14248781
296	0.00618697	0.00424703	0.00750439	0.60157237
297	0.00799501	-0.00328726	0.00864443	-0.39009364
298	-0.00141553	-0.00613029	0.00629160	1.34386699
299	-0.00660699	-0.00050345	0.00662614	0.07605335
300	-0.00406084	-0.00034987	0.00407588	0.08594442
301	-0.00566338	-0.00845038	0.01017265	0.98035636
302	-0.00657977	-0.00728487	0.00981645	0.83621067
303	-0.00525112	-0.00578227	0.00781081	0.83350114
304	-0.00606945	-0.00773817	0.00983451	0.90566952
305	-0.01106631	-0.00655180	0.01286038	0.53455307
306	-0.00426906	-0.00078269	0.00434022	0.18132548
307	0.00136187	-0.00287631	0.00318243	-1.12859135
308	-0.00413924	-0.00401330	0.00576540	0.76995139
309	-0.00787696	0.00168729	0.00805564	-0.21101667
310	0.00118027	0.00404121	0.00421004	1.28664147
311	0.00858705	-0.00276102	0.00902001	-0.31109269
312	-0.00049206	-0.00165470	0.00172631	1.28175370
313	-0.00341230	0.00175925	0.00383911	-0.47601970
314	0.00260302	0.00200944	0.00328840	0.65741269
315	0.00147791	-0.00493857	0.00515496	-1.28001971
316	-0.00096228	-0.00787591	0.00793448	1.44921934
317	-0.00503710	-0.00695544	0.00858781	0.94401505
318	-0.01025313	-0.00848406	0.01330811	0.69126232
319	-0.00960454	-0.01236684	0.01565841	0.91046426
320	-0.00035347	-0.01294689	0.01295171	1.54350160
321	-0.00436406	-0.01194468	0.01271694	1.22050770
322	-0.01229806	-0.01324408	0.01807340	0.82241885
323	-0.01064599	-0.00284666	0.01102001	0.26127979
324	-0.01097571	0.00174080	0.01111290	-0.15729433
325	-0.01469300	-0.00594428	0.01584988	0.38443614
326	-0.01718555	-0.00055632	0.01719455	0.03236025
327	-0.01793537	0.00079700	0.01795307	-0.04440818
328	-0.01841026	0.00118688	0.01844848	-0.06437943
329	-0.01463747	0.00241966	0.01483611	-0.16382442
330	-0.00694861	0.01008927	0.01225058	-0.96768571
331	-0.00474380	0.01384454	0.01463472	-1.24068643
332	-0.00867236	0.01672033	0.01883558	-1.09232316
333	-0.00963710	0.02528593	0.02706015	-1.20666663
334	-0.00946466	0.01855490	0.02082941	-1.09910989
335	-0.00794378	0.00798647	0.01126443	-0.78807777
336	-0.00624231	0.01102093	0.01266599	-1.05544540
337	0.00173298	0.01528564	0.01538357	1.45790533
338	-0.00242686	0.00225159	0.00331049	-0.74795281
339	-0.00134247	-0.00113911	0.00176062	0.70363654
340	0.00192739	0.00676352	0.00703278	1.29318657
341	0.00723587	0.00930050	0.01178376	0.90960938
342	0.00644816	0.00240859	0.00688332	0.35748198
343	0.00125984	0.00597077	0.00610224	1.36284521
344	0.00192926	0.00743113	0.00767748	1.31678476
345	0.00463911	0.00366420	0.00591166	0.66852142
346	0.00448026	0.00135847	0.00468168	0.29440082
347	0.00522685	0.00367326	0.00638849	0.61258133
348	0.00876701	0.00131295	0.00886478	0.14865501
349	0.00328965	0.00389998	0.00510212	0.87008510
350	0.00087705	0.00502151	0.00509753	1.39788238
351	0.00528260	0.00177883	0.00557405	0.32480779
352	0.00115924	-0.00380953	0.00398201	-1.27540020
353	-0.00232435	-0.00007777	0.00232565	0.03344836
354	0.00011057	0.00541037	0.00541150	1.55036292
355	0.00171604	-0.00175965	0.00245788	-0.79794185
356	-0.00596791	-0.00531630	0.00799243	0.72771685
357	-0.00546591	0.00009629	0.00546676	-0.01761544
358	0.00100556	0.00161581	0.00190315	1.01412316
359	0.00235290	-0.00448984	0.00506900	-1.08809468
360	-0.00237989	-0.00368091	0.00438326	0.99685133
361	0.00044019	0.00141552	0.00148238	1.26929867
362	0.00299583	0.00250014	0.00390201	0.69545005
363	0.00081810	0.00411650	0.00419701	1.37461481
364	0.00148403	0.00690552	0.00706318	1.35911110
365	0.00463116	0.00387286	0.00603711	0.69646299
366	-0.00049338	-0.00093578	0.00105788	1.08559521
367	-0.00458342	0.00361156	0.00583533	-0.66735701
368	0.00168332	0.00526536	0.00552789	1.26136879
369	0.00578578	-0.00006720	0.00578617	-0.01161380
370	-0.00072828	-0.00153621	0.00170010	1.12810323
371	-0.00122543	0.00247647	0.00276308	-1.11129532
372	0.00422253	0.00220182	0.00476212	0.48065537
373	0.00269636	-0.00234822	0.00357554	-0.71649475
374	-0.00321099	-0.00065638	0.00327739	0.20163727
375	-0.00133653	0.00126235	0.00183843	-0.75686535
376	0.00276521	-0.00002275	0.00276530	-0.00822568
377	0.00141591	0.00027163	0.00144172	0.18953596
378	0.00219628	0.00100786	0.00241649	0.43022631
379	0.00175423	0.00146285	0.00228413	0.69507180
380	-0.00047193	0.00389099	0.00391950	-1.45009870
381	0.00384213	0.00880310	0.00960502	1.15926603
382	0.00722818	0.00424008	0.00838003	0.53051136
383	0.00357813	0.00016047	0.00358173	0.04481815
384	-0.00465103	0.00513013	0.00692462	-0.83434184
385	0.00017296	0.01275348	0.01275465	1.55723537
386	0.00730202	0.00707191	0.01016521	0.76939094
387	0.00382050	-0.00146095	0.00409031	-0.36524144
388	-0.00214168	0.00026737	0.00215831	-0.12420004
389	0.00198579	0.00131481	0.00238162	0.58484006
390	0.00709969	-0.00203022	0.00738426	-0.27852591
391	0.00447761	-0.00405456	0.00604056	-0.73585509
392	0.00465455	-0.00740616	0.00874735	-1.00970521
393	0.00587001	-0.00936912	0.01105611	-1.01109942
394	0.00391243	-0.00717286	0.00817049	-1.07145423
395	0.00540318	-0.00440567	0.00697167	-0.68405206
396	0.00838517	-0.00700469	0.01092596	-0.69593719
397	0.00727565	-0.00795414	0.01077977	-0.82991894
398	-0.00079318	-0.00178519	0.00195347	1.15268320
399	0.00169982	0.00141054	0.00220885	0.69266068
400	0.00446481	-0.00113964	0.00460796	-0.24991385
401	0.00092985	-0.00623295	0.00630193	-1.42270536
402	-0.00451567	-0.00373814	0.00586216	0.69147358
403	-0.00573901	-0.00029370	0.00574652	0.05113094
